SUPPLIER,PRODUCT_PART_NUMBER,PACKAGING_DESCR,MARKETING_STATUS,ROHS_COMPLIANCE_GRADE,PRODUCT_URL,PARAMETRICS_URL,DATASHEET_URL,KEY_FEATURES,SHORT_DESCRIPTION,PB_FREE,EU_ROHS,HALOGEN_FREE,RHF_INDICATOR,REACH_SVHC
NXP,MIMXRT1011DAE5APackage :LQFP80,MIMXRT1011DAE5A(935389373557),Active,,https://www.nxp.com/products/i.MX-RT1010,https://www.nxp.com#buyparametrics,https://www.nxp.com/docs/en/data-sheet/IMXRT1010IEC.pdf,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1011CAE4APackage :LQFP80,MIMXRT1011CAE4A(935389372557),Active,,https://www.nxp.com/products/i.MX-RT1010,https://www.nxp.com#buyparametrics,https://www.nxp.com/docs/en/data-sheet/IMXRT1010IEC.pdf,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1021DAG5BPackage :LQFP144,MIMXRT1021DAG5B(935396801557),Active,,https://www.nxp.com/products/i.MX-RT1020,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1021DAF5BPackage :LQFP100,MIMXRT1021DAF5B(935396799557),Active,,https://www.nxp.com/products/i.MX-RT1020,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1021CAG4BPackage :LQFP144,MIMXRT1021CAG4B(935396798557),Active,,https://www.nxp.com/products/i.MX-RT1020,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1021CAF4BPackage :LQFP100,MIMXRT1021CAF4B(935396796557),Active,,https://www.nxp.com/products/i.MX-RT1020,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1046XFQ5BPackage :LFBGA169,MIMXRT1046XFQ5B(935464509557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1046DFQ6BPackage :LFBGA169,MIMXRT1046DFQ6B(935464514557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1043XJM5BPackage :LFBGA169,MIMXRT1043XJM5B(935465514557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1043XFP5BPackage :LFBGA169,MIMXRT1043XFP5B(935464388557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1043DJM6BPackage :LFBGA169,MIMXRT1043DJM6B(935465516557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1043DFP6BPackage :LFBGA169,MIMXRT1043DFP6B(935464395557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1042XJM5BPackage :LFBGA169,MIMXRT1042XJM5B(935437343557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1042XFP5BPackage :LFBGA169,MIMXRT1042XFP5B(935437342557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1042DJM6BPackage :LFBGA169,MIMXRT1042DJM6B(935447403557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1042DFP6BPackage :LFBGA169,MIMXRT1042DFP6B(935437341557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1041XJM5BPackage :LFBGA169,MIMXRT1041XJM5B(935437339557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1041XFP5BPackage :LFBGA169,MIMXRT1041XFP5B(935437338557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1041DJM6BPackage :LFBGA169,MIMXRT1041DJM6B(935447402557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT1041DFP6BPackage :LFBGA169,MIMXRT1041DFP6B(935437337557),Active,,https://www.nxp.com/products/i.MX-RT1040,https://www.nxp.com#buyparametrics,,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,Reach SVHC
NXP,MIMXRT105SDVL6BPackage :LFBGA196,MIMXRT105SDVL6B(935420437557),Active,,https://www.nxp.com/products/i.MX-RT1050,https://www.nxp.com#buyparametrics,https://www.nxp.com/docs/en/application-note/AN12781.pdf,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,-
NXP,MIMXRT105SCVL5BPackage :LFBGA196,MIMXRT105SCVL5B(935420436557),Active,,https://www.nxp.com/products/i.MX-RT1050,https://www.nxp.com#buyparametrics,https://www.nxp.com/docs/en/application-note/AN12781.pdf,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,-
NXP,MIMXRT1052DVL6BPackage :LFBGA196,MIMXRT1052DVL6B(935365842557),Active,,https://www.nxp.com/products/i.MX-RT1050,https://www.nxp.com#buyparametrics,https://www.nxp.com/docs/en/application-note/AN12781.pdf,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,e1
NXP,MIMXRT1052DVL6BR(935365842518),Active,Yes,Ecopack3,https://www.nxp.com/products/i.MX-RT1050,https://www.nxp.com#buyparametrics,https://www.nxp.com/docs/en/application-note/AN12781.pdf,,Roll over image to zoom in,YesCertificate Of Analysis (CoA),Yes,D,-,Reach SVHC
NXP,MIMXRT1052DVJ6BPackage :LFBGA196,MIMXRT1052DVJ6B(935376005557),Active,,https://www.nxp.com/products/i.MX-RT1050,https://www.nxp.com#buyparametrics,https://www.nxp.com/docs/en/application-note/AN12781.pdf,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,-
NXP,MIMXRT1052CVL5BPackage :LFBGA196,MIMXRT1052CVL5B(935365841557),Active,,https://www.nxp.com/products/i.MX-RT1050,https://www.nxp.com#buyparametrics,https://www.nxp.com/docs/en/application-note/AN12781.pdf,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,e1
NXP,MIMXRT1052CVL5BR(935365841518),Active,Yes,Ecopack3,https://www.nxp.com/products/i.MX-RT1050,https://www.nxp.com#buyparametrics,https://www.nxp.com/docs/en/application-note/AN12781.pdf,,Roll over image to zoom in,YesCertificate Of Analysis (CoA),Yes,D,-,Reach SVHC
NXP,MIMXRT1052CVJ5BPackage :LFBGA196,MIMXRT1052CVJ5B(935376004557),Active,,https://www.nxp.com/products/i.MX-RT1050,https://www.nxp.com#buyparametrics,https://www.nxp.com/docs/en/application-note/AN12781.pdf,,Roll over image to zoom in,Yes,YesCertificate Of Analysis (CoA),Yes,D,-
